FlightNumber,DepartureTime,ArrivalTime,ScheduledDepartureTime,ScheduledArrivalTime,DelayStatus,DepartureAirport,ArrivalAirport
7863,2024-01-01 17:00:00,2024-01-01 19:00:00,2024-01-01 16:50:00,2024-01-01 18:50:00,On-Time,LAX,DFW
8916,2024-01-01 17:10:00,2024-01-01 19:10:00,2024-01-01 17:00:00,2024-01-01 19:00:00,On-Time,ATL,DFW
9529,2024-01-01 17:20:00,2024-01-01 19:20:00,2024-01-01 17:10:00,2024-01-01 19:10:00,On-Time,ATL,JFK
1878,2024-01-01 17:30:00,2024-01-01 19:30:00,2024-01-01 17:20:00,2024-01-01 19:20:00,Delayed,JFK,JFK
5887,2024-01-01 17:40:00,2024-01-01 19:40:00,2024-01-01 17:30:00,2024-01-01 19:30:00,On-Time,DFW,LAX
5859,2024-01-01 17:50:00,2024-01-01 19:50:00,2024-01-01 17:40:00,2024-01-01 19:40:00,On-Time,ATL,ATL
7331,2024-01-01 18:00:00,2024-01-01 20:00:00,2024-01-01 17:50:00,2024-01-01 19:50:00,On-Time,JFK,JFK
9571,2024-01-01 18:10:00,2024-01-01 20:10:00,2024-01-01 18:00:00,2024-01-01 20:00:00,On-Time,ATL,ATL
9684,2024-01-01 18:20:00,2024-01-01 20:20:00,2024-01-01 18:10:00,2024-01-01 20:10:00,On-Time,DFW,ORD
8208,2024-01-01 18:30:00,2024-01-01 20:30:00,2024-01-01 18:20:00,2024-01-01 20:20:00,Delayed,ORD,DFW
6276,2024-01-01 18:40:00,2024-01-01 20:40:00,2024-01-01 18:30:00,2024-01-01 20:30:00,On-Time,DFW,ATL
3062,2024-01-01 18:50:00,2024-01-01 20:50:00,2024-01-01 18:40:00,2024-01-01 20:40:00,On-Time,LAX,DFW
1064,2024-01-01 19:00:00,2024-01-01 21:00:00,2024-01-01 18:50:00,2024-01-01 20:50:00,On-Time,ATL,ATL
9006,2024-01-01 19:10:00,2024-01-01 21:10:00,2024-01-01 19:00:00,2024-01-01 21:00:00,Delayed,ATL,ORD
3568,2024-01-01 19:20:00,2024-01-01 21:20:00,2024-01-01 19:10:00,2024-01-01 21:10:00,Delayed,LAX,JFK
6463,2024-01-01 19:30:00,2024-01-01 21:30:00,2024-01-01 19:20:00,2024-01-01 21:20:00,On-Time,LAX,ORD
3027,2024-01-01 19:40:00,2024-01-01 21:40:00,2024-01-01 19:30:00,2024-01-01 21:30:00,On-Time,ORD,JFK
3695,2024-01-01 19:50:00,2024-01-01 21:50:00,2024-01-01 19:40:00,2024-01-01 21:40:00,On-Time,ATL,JFK
6258,2024-01-01 20:00:00,2024-01-01 22:00:00,2024-01-01 19:50:00,2024-01-01 21:50:00,On-Time,ATL,DFW
6618,2024-01-01 20:10:00,2024-01-01 22:10:00,2024-01-01 20:00:00,2024-01-01 22:00:00,Delayed,ORD,ORD
7736,2024-01-01 20:20:00,2024-01-01 22:20:00,2024-01-01 20:10:00,2024-01-01 22:10:00,On-Time,JFK,ATL
1391,2024-01-01 20:30:00,2024-01-01 22:30:00,2024-01-01 20:20:00,2024-01-01 22:20:00,On-Time,ORD,ORD
6892,2024-01-01 20:40:00,2024-01-01 22:40:00,2024-01-01 20:30:00,2024-01-01 22:30:00,On-Time,DFW,DFW
4561,2024-01-01 20:50:00,2024-01-01 22:50:00,2024-01-01 20:40:00,2024-01-01 22:40:00,On-Time,ATL,JFK
7184,2024-01-01 21:00:00,2024-01-01 23:00:00,2024-01-01 20:50:00,2024-01-01 22:50:00,On-Time,LAX,DFW
4099,2024-01-01 21:10:00,2024-01-01 23:10:00,2024-01-01 21:00:00,2024-01-01 23:00:00,Delayed,DFW,LAX
7278,2024-01-01 21:20:00,2024-01-01 23:20:00,2024-01-01 21:10:00,2024-01-01 23:10:00,On-Time,ATL,LAX
9392,2024-01-01 21:30:00,2024-01-01 23:30:00,2024-01-01 21:20:00,2024-01-01 23:20:00,On-Time,ORD,ATL
4104,2024-01-01 21:40:00,2024-01-01 23:40:00,2024-01-01 21:30:00,2024-01-01 23:30:00,On-Time,DFW,DFW
8215,2024-01-01 21:50:00,2024-01-01 23:50:00,2024-01-01 21:40:00,2024-01-01 23:40:00,On-Time,ATL,ATL
3454,2024-01-01 22:00:00,2024-01-02 00:00:00,2024-01-01 21:50:00,2024-01-01 23:50:00,On-Time,JFK,ATL
9996,2024-01-01 22:10:00,2024-01-02 00:10:00,2024-01-01 22:00:00,2024-01-02 00:00:00,On-Time,JFK,LAX
3731,2024-01-01 22:20:00,2024-01-02 00:20:00,2024-01-01 22:10:00,2024-01-02 00:10:00,Delayed,LAX,ATL
9154,2024-01-01 22:30:00,2024-01-02 00:30:00,2024-01-01 22:20:00,2024-01-02 00:20:00,On-Time,ATL,LAX
6056,2024-01-01 22:40:00,2024-01-02 00:40:00,2024-01-01 22:30:00,2024-01-02 00:30:00,On-Time,JFK,JFK
9110,2024-01-01 22:50:00,2024-01-02 00:50:00,2024-01-01 22:40:00,2024-01-02 00:40:00,On-Time,ORD,DFW
4840,2024-01-01 23:00:00,2024-01-02 01:00:00,2024-01-01 22:50:00,2024-01-02 00:50:00,On-Time,ATL,ATL
2028,2024-01-01 23:10:00,2024-01-02 01:10:00,2024-01-01 23:00:00,2024-01-02 01:00:00,Delayed,ORD,LAX
8385,2024-01-01 23:20:00,2024-01-02 01:20:00,2024-01-01 23:10:00,2024-01-02 01:10:00,Delayed,ORD,ORD
1502,2024-01-01 23:30:00,2024-01-02 01:30:00,2024-01-01 23:20:00,2024-01-02 01:20:00,On-Time,JFK,ATL
7910,2024-01-01 23:40:00,2024-01-02 01:40:00,2024-01-01 23:30:00,2024-01-02 01:30:00,On-Time,ATL,JFK
7938,2024-01-01 23:50:00,2024-01-02 01:50:00,2024-01-01 23:40:00,2024-01-02 01:40:00,On-Time,DFW,JFK
5488,2024-01-02 00:00:00,2024-01-02 02:00:00,2024-01-01 23:50:00,2024-01-02 01:50:00,On-Time,JFK,ORD
1206,2024-01-02 00:10:00,2024-01-02 02:10:00,2024-01-02 00:00:00,2024-01-02 02:00:00,On-Time,JFK,LAX
6134,2024-01-02 00:20:00,2024-01-02 02:20:00,2024-01-02 00:10:00,2024-01-02 02:10:00,On-Time,ATL,ATL
6977,2024-01-02 00:30:00,2024-01-02 02:30:00,2024-01-02 00:20:00,2024-01-02 02:20:00,On-Time,ATL,LAX
8721,2024-01-02 00:40:00,2024-01-02 02:40:00,2024-01-02 00:30:00,2024-01-02 02:30:00,On-Time,ORD,JFK
8035,2024-01-02 00:50:00,2024-01-02 02:50:00,2024-01-02 00:40:00,2024-01-02 02:40:00,Delayed,ATL,LAX
2484,2024-01-02 01:00:00,2024-01-02 03:00:00,2024-01-02 00:50:00,2024-01-02 02:50:00,On-Time,ORD,JFK
8858,2024-01-02 01:10:00,2024-01-02 03:10:00,2024-01-02 01:00:00,2024-01-02 03:00:00,On-Time,JFK,LAX
1863,2024-01-02 01:20:00,2024-01-02 03:20:00,2024-01-02 01:10:00,2024-01-02 03:10:00,Delayed,LAX,ORD
3790,2024-01-02 01:30:00,2024-01-02 03:30:00,2024-01-02 01:20:00,2024-01-02 03:20:00,On-Time,DFW,DFW
8408,2024-01-02 01:40:00,2024-01-02 03:40:00,2024-01-02 01:30:00,2024-01-02 03:30:00,On-Time,JFK,ORD
9755,2024-01-02 01:50:00,2024-01-02 03:50:00,2024-01-02 01:40:00,2024-01-02 03:40:00,On-Time,ATL,ORD
6116,2024-01-02 02:00:00,2024-01-02 04:00:00,2024-01-02 01:50:00,2024-01-02 03:50:00,On-Time,DFW,DFW
7019,2024-01-02 02:10:00,2024-01-02 04:10:00,2024-01-02 02:00:00,2024-01-02 04:00:00,Delayed,LAX,DFW
2757,2024-01-02 02:20:00,2024-01-02 04:20:00,2024-01-02 02:10:00,2024-01-02 04:10:00,Delayed,LAX,ATL
8574,2024-01-02 02:30:00,2024-01-02 04:30:00,2024-01-02 02:20:00,2024-01-02 04:20:00,On-Time,ORD,ATL
7374,2024-01-02 02:40:00,2024-01-02 04:40:00,2024-01-02 02:30:00,2024-01-02 04:30:00,On-Time,DFW,ORD
7892,2024-01-02 02:50:00,2024-01-02 04:50:00,2024-01-02 02:40:00,2024-01-02 04:40:00,On-Time,ORD,ORD
2678,2024-01-02 03:00:00,2024-01-02 05:00:00,2024-01-02 02:50:00,2024-01-02 04:50:00,On-Time,JFK,JFK
4242,2024-01-02 03:10:00,2024-01-02 05:10:00,2024-01-02 03:00:00,2024-01-02 05:00:00,On-Time,DFW,JFK
5636,2024-01-02 03:20:00,2024-01-02 05:20:00,2024-01-02 03:10:00,2024-01-02 05:10:00,Delayed,JFK,ATL
2059,2024-01-02 03:30:00,2024-01-02 05:30:00,2024-01-02 03:20:00,2024-01-02 05:20:00,On-Time,ORD,ATL
7668,2024-01-02 03:40:00,2024-01-02 05:40:00,2024-01-02 03:30:00,2024-01-02 05:30:00,Delayed,DFW,JFK
4157,2024-01-02 03:50:00,2024-01-02 05:50:00,2024-01-02 03:40:00,2024-01-02 05:40:00,On-Time,ORD,JFK
6915,2024-01-02 04:00:00,2024-01-02 06:00:00,2024-01-02 03:50:00,2024-01-02 05:50:00,On-Time,DFW,LAX
3693,2024-01-02 04:10:00,2024-01-02 06:10:00,2024-01-02 04:00:00,2024-01-02 06:00:00,On-Time,ORD,LAX
4627,2024-01-02 04:20:00,2024-01-02 06:20:00,2024-01-02 04:10:00,2024-01-02 06:10:00,Delayed,LAX,JFK
6450,2024-01-02 04:30:00,2024-01-02 06:30:00,2024-01-02 04:20:00,2024-01-02 06:20:00,Delayed,ORD,LAX
2663,2024-01-02 04:40:00,2024-01-02 06:40:00,2024-01-02 04:30:00,2024-01-02 06:30:00,Delayed,LAX,DFW
6592,2024-01-02 04:50:00,2024-01-02 06:50:00,2024-01-02 04:40:00,2024-01-02 06:40:00,On-Time,ORD,ATL
8392,2024-01-02 05:00:00,2024-01-02 07:00:00,2024-01-02 04:50:00,2024-01-02 06:50:00,On-Time,DFW,ATL
2306,2024-01-02 05:10:00,2024-01-02 07:10:00,2024-01-02 05:00:00,2024-01-02 07:00:00,Delayed,DFW,JFK
7776,2024-01-02 05:20:00,2024-01-02 07:20:00,2024-01-02 05:10:00,2024-01-02 07:10:00,On-Time,DFW,ORD
6864,2024-01-02 05:30:00,2024-01-02 07:30:00,2024-01-02 05:20:00,2024-01-02 07:20:00,On-Time,ATL,JFK
8526,2024-01-02 05:40:00,2024-01-02 07:40:00,2024-01-02 05:30:00,2024-01-02 07:30:00,On-Time,JFK,LAX
9901,2024-01-02 05:50:00,2024-01-02 07:50:00,2024-01-02 05:40:00,2024-01-02 07:40:00,Delayed,DFW,ORD
6575,2024-01-02 06:00:00,2024-01-02 08:00:00,2024-01-02 05:50:00,2024-01-02 07:50:00,Delayed,LAX,LAX
6530,2024-01-02 06:10:00,2024-01-02 08:10:00,2024-01-02 06:00:00,2024-01-02 08:00:00,On-Time,DFW,DFW
5413,2024-01-02 06:20:00,2024-01-02 08:20:00,2024-01-02 06:10:00,2024-01-02 08:10:00,Delayed,ATL,LAX
4748,2024-01-02 06:30:00,2024-01-02 08:30:00,2024-01-02 06:20:00,2024-01-02 08:20:00,Delayed,LAX,DFW
1663,2024-01-02 06:40:00,2024-01-02 08:40:00,2024-01-02 06:30:00,2024-01-02 08:30:00,On-Time,ATL,DFW
2998,2024-01-02 06:50:00,2024-01-02 08:50:00,2024-01-02 06:40:00,2024-01-02 08:40:00,On-Time,LAX,LAX
8994,2024-01-02 07:00:00,2024-01-02 09:00:00,2024-01-02 06:50:00,2024-01-02 08:50:00,Delayed,ORD,LAX
2495,2024-01-02 07:10:00,2024-01-02 09:10:00,2024-01-02 07:00:00,2024-01-02 09:00:00,On-Time,JFK,DFW
4304,2024-01-02 07:20:00,2024-01-02 09:20:00,2024-01-02 07:10:00,2024-01-02 09:10:00,On-Time,JFK,ORD
4763,2024-01-02 07:30:00,2024-01-02 09:30:00,2024-01-02 07:20:00,2024-01-02 09:20:00,On-Time,ATL,DFW
6232,2024-01-02 07:40:00,2024-01-02 09:40:00,2024-01-02 07:30:00,2024-01-02 09:30:00,Delayed,JFK,ATL
2853,2024-01-02 07:50:00,2024-01-02 09:50:00,2024-01-02 07:40:00,2024-01-02 09:40:00,Delayed,ATL,DFW
7585,2024-01-02 08:00:00,2024-01-02 10:00:00,2024-01-02 07:50:00,2024-01-02 09:50:00,Delayed,ATL,ORD
2291,2024-01-02 08:10:00,2024-01-02 10:10:00,2024-01-02 08:00:00,2024-01-02 10:00:00,On-Time,ATL,ATL
4581,2024-01-02 08:20:00,2024-01-02 10:20:00,2024-01-02 08:10:00,2024-01-02 10:10:00,Delayed,JFK,JFK
8554,2024-01-02 08:30:00,2024-01-02 10:30:00,2024-01-02 08:20:00,2024-01-02 10:20:00,Delayed,ATL,JFK
8280,2024-01-02 08:40:00,2024-01-02 10:40:00,2024-01-02 08:30:00,2024-01-02 10:30:00,On-Time,JFK,ORD
2636,2024-01-02 08:50:00,2024-01-02 10:50:00,2024-01-02 08:40:00,2024-01-02 10:40:00,Delayed,ATL,DFW
4696,2024-01-02 09:00:00,2024-01-02 11:00:00,2024-01-02 08:50:00,2024-01-02 10:50:00,On-Time,DFW,LAX
1698,2024-01-02 09:10:00,2024-01-02 11:10:00,2024-01-02 09:00:00,2024-01-02 11:00:00,On-Time,ATL,ORD
5737,2024-01-02 09:20:00,2024-01-02 11:20:00,2024-01-02 09:10:00,2024-01-02 11:10:00,On-Time,LAX,ATL
1854,2024-01-02 09:30:00,2024-01-02 11:30:00,2024-01-02 09:20:00,2024-01-02 11:20:00,On-Time,ATL,ATL
9164,2024-01-02 09:40:00,2024-01-02 11:40:00,2024-01-02 09:30:00,2024-01-02 11:30:00,On-Time,ORD,JFK
6855,2024-01-02 09:50:00,2024-01-02 11:50:00,2024-01-02 09:40:00,2024-01-02 11:40:00,On-Time,ATL,ATL
8392,2024-01-02 10:00:00,2024-01-02 12:00:00,2024-01-02 09:50:00,2024-01-02 11:50:00,On-Time,LAX,ORD
7528,2024-01-02 10:10:00,2024-01-02 12:10:00,2024-01-02 10:00:00,2024-01-02 12:00:00,Delayed,LAX,ATL
6249,2024-01-02 10:20:00,2024-01-02 12:20:00,2024-01-02 10:10:00,2024-01-02 12:10:00,On-Time,JFK,ORD
6172,2024-01-02 10:30:00,2024-01-02 12:30:00,2024-01-02 10:20:00,2024-01-02 12:20:00,On-Time,DFW,LAX
2707,2024-01-02 10:40:00,2024-01-02 12:40:00,2024-01-02 10:30:00,2024-01-02 12:30:00,On-Time,ATL,JFK
6791,2024-01-02 10:50:00,2024-01-02 12:50:00,2024-01-02 10:40:00,2024-01-02 12:40:00,Delayed,JFK,ATL
6535,2024-01-02 11:00:00,2024-01-02 13:00:00,2024-01-02 10:50:00,2024-01-02 12:50:00,On-Time,DFW,ORD
5931,2024-01-02 11:10:00,2024-01-02 13:10:00,2024-01-02 11:00:00,2024-01-02 13:00:00,On-Time,ATL,DFW
4510,2024-01-02 11:20:00,2024-01-02 13:20:00,2024-01-02 11:10:00,2024-01-02 13:10:00,Delayed,ORD,JFK
1202,2024-01-02 11:30:00,2024-01-02 13:30:00,2024-01-02 11:20:00,2024-01-02 13:20:00,On-Time,ATL,LAX
5218,2024-01-02 11:40:00,2024-01-02 13:40:00,2024-01-02 11:30:00,2024-01-02 13:30:00,On-Time,LAX,ORD
9958,2024-01-02 11:50:00,2024-01-02 13:50:00,2024-01-02 11:40:00,2024-01-02 13:40:00,On-Time,LAX,LAX
5389,2024-01-02 12:00:00,2024-01-02 14:00:00,2024-01-02 11:50:00,2024-01-02 13:50:00,Delayed,ORD,LAX
3327,2024-01-02 12:10:00,2024-01-02 14:10:00,2024-01-02 12:00:00,2024-01-02 14:00:00,On-Time,JFK,ATL
9004,2024-01-02 12:20:00,2024-01-02 14:20:00,2024-01-02 12:10:00,2024-01-02 14:10:00,Delayed,DFW,ATL
3931,2024-01-02 12:30:00,2024-01-02 14:30:00,2024-01-02 12:20:00,2024-01-02 14:20:00,On-Time,ATL,ORD
8777,2024-01-02 12:40:00,2024-01-02 14:40:00,2024-01-02 12:30:00,2024-01-02 14:30:00,Delayed,LAX,DFW
1197,2024-01-02 12:50:00,2024-01-02 14:50:00,2024-01-02 12:40:00,2024-01-02 14:40:00,Delayed,JFK,ORD
8125,2024-01-02 13:00:00,2024-01-02 15:00:00,2024-01-02 12:50:00,2024-01-02 14:50:00,Delayed,ORD,DFW
2930,2024-01-02 13:10:00,2024-01-02 15:10:00,2024-01-02 13:00:00,2024-01-02 15:00:00,On-Time,LAX,LAX
7287,2024-01-02 13:20:00,2024-01-02 15:20:00,2024-01-02 13:10:00,2024-01-02 15:10:00,Delayed,ORD,JFK
9800,2024-01-02 13:30:00,2024-01-02 15:30:00,2024-01-02 13:20:00,2024-01-02 15:20:00,On-Time,ATL,ORD
5282,2024-01-02 13:40:00,2024-01-02 15:40:00,2024-01-02 13:30:00,2024-01-02 15:30:00,On-Time,DFW,ORD
3511,2024-01-02 13:50:00,2024-01-02 15:50:00,2024-01-02 13:40:00,2024-01-02 15:40:00,On-Time,LAX,DFW
1659,2024-01-02 14:00:00,2024-01-02 16:00:00,2024-01-02 13:50:00,2024-01-02 15:50:00,Delayed,LAX,LAX
3811,2024-01-02 14:10:00,2024-01-02 16:10:00,2024-01-02 14:00:00,2024-01-02 16:00:00,Delayed,ATL,LAX
8098,2024-01-02 14:20:00,2024-01-02 16:20:00,2024-01-02 14:10:00,2024-01-02 16:10:00,Delayed,JFK,DFW
7546,2024-01-02 14:30:00,2024-01-02 16:30:00,2024-01-02 14:20:00,2024-01-02 16:20:00,On-Time,DFW,LAX
2986,2024-01-02 14:40:00,2024-01-02 16:40:00,2024-01-02 14:30:00,2024-01-02 16:30:00,On-Time,LAX,ATL
9338,2024-01-02 14:50:00,2024-01-02 16:50:00,2024-01-02 14:40:00,2024-01-02 16:40:00,Delayed,DFW,JFK
3911,2024-01-02 15:00:00,2024-01-02 17:00:00,2024-01-02 14:50:00,2024-01-02 16:50:00,On-Time,LAX,ORD
2734,2024-01-02 15:10:00,2024-01-02 17:10:00,2024-01-02 15:00:00,2024-01-02 17:00:00,On-Time,DFW,JFK
2843,2024-01-02 15:20:00,2024-01-02 17:20:00,2024-01-02 15:10:00,2024-01-02 17:10:00,On-Time,ORD,ORD
9680,2024-01-02 15:30:00,2024-01-02 17:30:00,2024-01-02 15:20:00,2024-01-02 17:20:00,On-Time,LAX,ATL
3976,2024-01-02 15:40:00,2024-01-02 17:40:00,2024-01-02 15:30:00,2024-01-02 17:30:00,On-Time,DFW,LAX
